descripcion,año,grupo_etario,sexo,cantidad
Enfermedades del sistema genitourinario ,2012,0-14,F,22.0
Enfermedades del aparato digestivo,2017,0-14,M,48.0
Enfermedades de la piel y del tejido subcutáneo ,2019,0-14,F,4.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2012,0-14,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,0-14,,2.0
Afecciones originadas en el periodo perinatal ,2019,0-14,,1.0
Enfermedades infecciosas y parasitarias ,2014,0-14,,1.0
Enfermedades del aparato respiratorio,2020,0-14,,2.0
Afecciones originadas en el periodo perinatal ,2017,0-14,,1.0
Enfermedades infecciosas y parasitarias ,2010,0-14,,3.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2021,0-14,F,9.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2021,0-14,M,3.0
Enfermedades infecciosas y parasitarias ,2015,0-14,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2022,0-14,F,3.0
Trastornos mentales,2008,0-14,M,2.0
Enfermedades de la piel y del tejido subcutáneo ,2013,0-14,F,1.0
Trastornos mentales,2018,0-14,F,2.0
Enfermedades de la piel y del tejido subcutáneo ,2005,0-14,F,1.0
"Embarazo, parto y puerperio ",2012,0-14,F,1.0
Enfermedades del aparato circulatorio,2011,0-14,,1.0
Trastornos mentales,2014,0-14,F,1.0
Tumores ,2021,0-14,,1.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2013,15-34,F,23.0
Enfermedades infecciosas y parasitarias ,2016,15-34,,1.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2019,15-34,F,25.0
Enfermedades de la piel y del tejido subcutáneo ,2013,15-34,F,10.0
Trastornos mentales,2009,15-34,M,24.0
Enfermedades de la piel y del tejido subcutáneo ,2005,15-34,F,14.0
Enfermedades de la piel y del tejido subcutáneo ,2017,15-34,F,14.0
Enfermedades del aparato respiratorio,2021,15-34,,5.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2006,15-34,,2.0
Enfermedades del aparato circulatorio,2007,15-34,,1.0
Enfermedades del aparato circulatorio,2011,15-34,,2.0
Enfermedades del aparato digestivo,2019,15-34,,1.0
Tumores ,2015,15-34,,2.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,15-34,,1.0
Enfermedades del aparato digestivo,2013,15-34,,3.0
Trastornos mentales,2016,15-34,F,8.0
Tumores ,2014,15-34,,2.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2008,15-34,,1.0
Tumores ,2018,15-34,,1.0
Enfermedades infecciosas y parasitarias ,2009,15-34,,1.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2017,35-54,,1.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2016,55-74,,1.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2020,35-54,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2016,35-54,,2.0
Enfermedades del aparato respiratorio,2005,75+,,10.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,75+,,1.0
Enfermedades del aparato circulatorio,2007,,M,100.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2012,,,28.0
COVID-19,2022,,M,24.0
Accidentes y causas externas,2016,,M,198.0
Enfermedades del aparato circulatorio,2016,,F,203.0
Enfermedades infecciosas y parasitarias ,2018,,F,48.0
Tumores ,2010,,M,69.0
Enfermedades del aparato digestivo,2021,,M,60.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2017,,F,16.0
Enfermedades del aparato circulatorio,2011,,M,114.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2014,,M,13.0
Accidentes y causas externas,2011,,,16.0
Enfermedades del aparato respiratorio,2017,,,14.0
Enfermedades infecciosas y parasitarias ,2016,,M,56.0
Tumores ,2014,,M,40.0
Tumores ,2015,,M,151.0
Enfermedades de la piel y del tejido subcutáneo ,2015,,M,11.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,,M,40.0
Enfermedades del aparato respiratorio,2011,,F,44.0
Enfermedades del sistema genitourinario ,2012,,F,10.0
Enfermedades del aparato circulatorio,2014,,,12.0
Enfermedades del aparato respiratorio,2007,,F,27.0
Enfermedades infecciosas y parasitarias ,2009,,M,43.0
Accidentes y causas externas,2009,,M,121.0
Enfermedades infecciosas y parasitarias ,2010,,F,17.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2011,,F,31.0
Enfermedades del aparato circulatorio,2009,,F,111.0
Tumores ,2021,,,17.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2007,,M,7.0
Accidentes y causas externas,2007,,,9.0
Enfermedades del aparato respiratorio,2006,,M,33.0
Enfermedades del sistema genitourinario ,2013,,,1.0
Enfermedades del aparato respiratorio,2019,,,6.0
Enfermedades del aparato circulatorio,2015,,,16.0
Tumores ,2021,,F,62.0
Enfermedades del aparato circulatorio,2010,,,24.0
Tumores ,2018,,M,138.0
Enfermedades del aparato respiratorio,2013,,,16.0
Enfermedades del aparato digestivo,2012,,F,8.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2015,,M,26.0
Enfermedades del aparato circulatorio,2018,,,17.0
Enfermedades infecciosas y parasitarias ,2015,,F,31.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2010,,M,10.0
Enfermedades del aparato digestivo,2020,,F,26.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2019,,F,8.0
Enfermedades del aparato respiratorio,2008,,M,46.0
COVID-19,2020,,,45.0
Enfermedades del sistema genitourinario ,2020,,F,31.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2020,,M,2.0
Enfermedades de la piel y del tejido subcutáneo ,2010,,M,3.0
Trastornos mentales,2009,,,4.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,,M,8.0
Enfermedades de la piel y del tejido subcutáneo ,2017,,,1.0
Enfermedades infecciosas y parasitarias ,2014,,F,13.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2018,,M,17.0
Enfermedades infecciosas y parasitarias ,2009,,,4.0
Trastornos mentales,2016,,,1.0
Accidentes y causas externas,2013,,,1.0
Enfermedades del aparato respiratorio,2005,,,7.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2013,,F,7.0
Enfermedades infecciosas y parasitarias ,2016,,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,,,1.0
Enfermedades del sistema genitourinario ,2021,,,4.0
Enfermedades de la piel y del tejido subcutáneo ,2013,,,2.0
Enfermedades de la piel y del tejido subcutáneo ,2014,,M,4.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2007,,F,28.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2010,,,3.0
Enfermedades del aparato digestivo,2011,,,6.0
Enfermedades de la piel y del tejido subcutáneo ,2005,,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2008,,F,1.0
Trastornos mentales,2009,,F,5.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2012,,M,1.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2011,,F,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2020,,,14.0
Enfermedades de la piel y del tejido subcutáneo ,2018,,M,5.0
Enfermedades del aparato circulatorio,2013,,,2.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2009,,M,3.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2018,,,1.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2016,,M,1.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2015,,,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2008,75+,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2019,75+,,7.0
Enfermedades del aparato respiratorio,2016,75+,,2.0
Enfermedades del aparato digestivo,2005,75+,,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2006,75+,,5.0
Enfermedades del sistema genitourinario ,2022,75+,,1.0
Enfermedades del sistema genitourinario ,2013,75+,,1.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2007,,M,1.0
Trastornos mentales,2016,,F,7.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2017,,,1.0
Tumores ,2016,55-74,F,13639.0
Enfermedades del aparato circulatorio,2022,55-74,M,21114.0
Enfermedades del aparato respiratorio,2014,55-74,F,5091.0
Tumores ,2009,55-74,F,11577.0
Accidentes y causas externas,2017,55-74,M,2679.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2006,55-74,F,2116.0
Enfermedades del aparato circulatorio,2017,55-74,M,18865.0
Accidentes y causas externas,2022,55-74,M,2492.0
Enfermedades del aparato respiratorio,2018,55-74,F,6340.0
Tumores ,2013,55-74,M,16520.0
Accidentes y causas externas,2018,55-74,F,991.0
Enfermedades del aparato respiratorio,2010,55-74,F,4436.0
Accidentes y causas externas,2019,55-74,M,2534.0
Tumores ,2022,55-74,M,15501.0
Tumores ,2005,55-74,M,15832.0
Enfermedades del aparato digestivo,2021,55-74,F,2324.0
Enfermedades del aparato circulatorio,2019,55-74,M,19213.0
Accidentes y causas externas,2005,55-74,M,2675.0
Enfermedades del aparato circulatorio,2020,55-74,F,9993.0
Accidentes y causas externas,2015,55-74,F,961.0
Accidentes y causas externas,2010,55-74,F,914.0
Tumores ,2019,55-74,M,16860.0
Enfermedades del aparato digestivo,2010,55-74,M,3584.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2016,55-74,F,544.0
Enfermedades del aparato circulatorio,2013,55-74,M,18258.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,55-74,M,4821.0
Enfermedades del aparato respiratorio,2020,55-74,M,9312.0
Tumores ,2017,55-74,M,17187.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2021,55-74,M,648.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2013,55-74,F,1897.0
Accidentes y causas externas,2014,55-74,F,974.0
Enfermedades del aparato respiratorio,2015,55-74,F,5459.0
Enfermedades del aparato digestivo,2014,55-74,M,4245.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2009,55-74,M,118.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2009,55-74,M,2421.0
Enfermedades infecciosas y parasitarias ,2012,55-74,F,1726.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2019,55-74,F,1903.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2005,55-74,F,2094.0
Enfermedades del aparato digestivo,2015,55-74,M,4756.0
Enfermedades de la piel y del tejido subcutáneo ,2007,55-74,F,101.0
Enfermedades del aparato circulatorio,2012,55-74,F,9926.0
Enfermedades del sistema genitourinario ,2021,55-74,F,1801.0
Accidentes y causas externas,2013,55-74,M,2890.0
Enfermedades del aparato digestivo,2018,55-74,M,4450.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2022,55-74,F,2120.0
Enfermedades del sistema genitourinario ,2021,55-74,M,2467.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2017,55-74,F,1917.0
Enfermedades del aparato respiratorio,2012,55-74,M,7775.0
Enfermedades del aparato circulatorio,2019,55-74,,117.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2009,55-74,,5.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2009,55-74,F,454.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2008,55-74,F,2555.0
Enfermedades infecciosas y parasitarias ,2020,55-74,F,1798.0
Enfermedades del aparato circulatorio,2005,55-74,M,18609.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2016,55-74,M,2959.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2007,55-74,F,191.0
Enfermedades del aparato circulatorio,2022,55-74,,1.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2007,55-74,M,136.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2011,55-74,F,211.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2011,55-74,M,163.0
Enfermedades de la piel y del tejido subcutáneo ,2005,55-74,,1.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2016,55-74,M,170.0
Trastornos mentales,2007,55-74,F,107.0
Enfermedades de la piel y del tejido subcutáneo ,2008,55-74,M,123.0
Enfermedades del aparato circulatorio,2017,55-74,,61.0
Trastornos mentales,2008,55-74,M,456.0
Enfermedades del aparato respiratorio,2022,75+,F,29278.0
Enfermedades del aparato digestivo,2009,75+,M,2278.0
Enfermedades del aparato digestivo,2011,75+,F,2998.0
Enfermedades del aparato circulatorio,2010,75+,F,37051.0
Enfermedades infecciosas y parasitarias ,2021,75+,M,2980.0
Enfermedades del aparato digestivo,2016,75+,M,3050.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2021,75+,M,2710.0
Enfermedades del aparato circulatorio,2018,75+,M,24121.0
Enfermedades infecciosas y parasitarias ,2020,75+,F,3605.0
Enfermedades infecciosas y parasitarias ,2012,75+,F,3710.0
Enfermedades del aparato circulatorio,2015,75+,M,24318.0
Enfermedades del aparato respiratorio,2019,75+,F,23805.0
Enfermedades del aparato circulatorio,2015,75+,F,36398.0
Enfermedades del aparato circulatorio,2010,75+,M,24110.0
Enfermedades del aparato respiratorio,2020,75+,M,15288.0
Enfermedades del aparato circulatorio,2014,75+,F,34906.0
Accidentes y causas externas,2009,75+,F,1302.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,75+,M,786.0
Enfermedades del aparato circulatorio,2018,75+,F,34941.0
Enfermedades del aparato respiratorio,2012,75+,M,14002.0
Accidentes y causas externas,2016,75+,F,1663.0
Enfermedades del aparato digestivo,2007,75+,F,2920.0
Enfermedades del aparato circulatorio,2014,75+,M,23289.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2007,75+,M,894.0
Enfermedades del aparato respiratorio,2017,75+,F,26045.0
Enfermedades del aparato respiratorio,2013,75+,F,20094.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2012,75+,F,1432.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2021,75+,,34.0
Enfermedades del aparato respiratorio,2005,75+,F,15105.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2017,75+,F,319.0
Trastornos mentales,2009,75+,F,1093.0
Trastornos mentales,2016,75+,F,1422.0
Enfermedades de la piel y del tejido subcutáneo ,2011,55-74,F,134.0
Enfermedades infecciosas y parasitarias ,2021,55-74,M,3189.0
Tumores ,2008,55-74,,27.0
Enfermedades del aparato circulatorio,2013,55-74,,12.0
Enfermedades de la piel y del tejido subcutáneo ,2006,55-74,M,119.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2012,55-74,F,163.0
Tumores ,2017,55-74,,2.0
Trastornos mentales,2020,75+,,3.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2007,75+,M,221.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2011,75+,M,217.0
Trastornos mentales,2012,75+,,4.0
Tumores ,2017,75+,,39.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2006,75+,F,294.0
Enfermedades del sistema genitourinario ,2008,75+,F,2852.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2020,75+,F,1695.0
Enfermedades del aparato circulatorio,2013,75+,,33.0
Tumores ,2019,75+,,94.0
Enfermedades del sistema genitourinario ,2006,75+,F,2826.0
Enfermedades del aparato circulatorio,2019,75+,,187.0
Enfermedades infecciosas y parasitarias ,2007,75+,,2.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,75+,F,9011.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2010,75+,M,6250.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2018,75+,M,5091.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2015,75+,M,4393.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2008,75+,F,313.0
Enfermedades infecciosas y parasitarias ,2011,75+,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2020,75+,M,493.0
Accidentes y causas externas,2020,75+,,14.0
Enfermedades del aparato circulatorio,2005,75+,,21.0
Enfermedades de la piel y del tejido subcutáneo ,2016,75+,F,1376.0
Enfermedades de la piel y del tejido subcutáneo ,2012,75+,M,302.0
Enfermedades del aparato circulatorio,2017,75+,,107.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2021,75+,,9.0
Enfermedades del aparato digestivo,2016,75+,,5.0
Enfermedades del aparato respiratorio,2009,75+,,20.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2013,75+,M,133.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2019,75+,M,129.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2005,75+,M,75.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2005,75+,F,165.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2019,75+,F,283.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2017,75+,M,130.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2022,75+,F,359.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2007,75+,F,8.0
Tumores ,2005,75+,,4.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2011,75+,F,18.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2013,75+,F,320.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2014,75+,M,5498.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2022,75+,M,168.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2006,75+,M,4.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2008,75+,M,6.0
Tumores ,2013,75+,,12.0
Enfermedades infecciosas y parasitarias ,2007,75+,,1.0
Enfermedades del sistema genitourinario ,2012,75+,M,3123.0
Enfermedades del sistema genitourinario ,2020,75+,M,3454.0
Enfermedades de la piel y del tejido subcutáneo ,2009,75+,F,669.0
Enfermedades del sistema genitourinario ,2018,75+,,11.0
Enfermedades de la piel y del tejido subcutáneo ,2016,75+,,1.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2020,75+,,1.0
Enfermedades del aparato respiratorio,2016,75+,,14.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,75+,,60.0
Enfermedades del sistema genitourinario ,2014,75+,,5.0
Enfermedades del aparato circulatorio,2022,75+,,1.0
Tumores ,2022,75+,,1.0
Enfermedades del sistema genitourinario ,2015,75+,,1.0
Enfermedades del sistema genitourinario ,2010,75+,,1.0
Enfermedades del aparato respiratorio,2022,75+,,1.0
Enfermedades infecciosas y parasitarias ,2008,35-54,M,1386.0
Enfermedades del aparato digestivo,2007,35-54,M,1574.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2008,35-54,M,1467.0
Enfermedades del aparato circulatorio,2017,35-54,F,1727.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2020,35-54,M,51.0
Accidentes y causas externas,2007,35-54,M,3563.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2016,35-54,F,556.0
Enfermedades del aparato digestivo,2019,35-54,F,477.0
Enfermedades del aparato circulatorio,2011,35-54,M,4071.0
Accidentes y causas externas,2011,35-54,M,3443.0
Enfermedades infecciosas y parasitarias ,2009,35-54,F,672.0
Enfermedades infecciosas y parasitarias ,2006,35-54,M,1325.0
Accidentes y causas externas,2018,35-54,F,868.0
Tumores ,2021,35-54,F,4849.0
COVID-19,2022,35-54,M,860.0
Enfermedades del aparato circulatorio,2019,35-54,F,1839.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2017,35-54,M,547.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2022,35-54,M,668.0
Enfermedades de la piel y del tejido subcutáneo ,2016,35-54,F,74.0
Enfermedades del aparato circulatorio,2005,35-54,F,1910.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2015,35-54,M,267.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2019,35-54,M,525.0
Enfermedades del aparato digestivo,2011,35-54,M,1511.0
Enfermedades del aparato digestivo,2022,35-54,F,568.0
Accidentes y causas externas,2010,35-54,F,877.0
Enfermedades del aparato circulatorio,2022,35-54,F,2090.0
Enfermedades del aparato circulatorio,2013,35-54,F,1691.0
Accidentes y causas externas,2015,35-54,F,824.0
Enfermedades del aparato digestivo,2013,35-54,F,529.0
Accidentes y causas externas,2014,35-54,F,936.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2020,35-54,F,59.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2006,35-54,F,162.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2014,35-54,M,268.0
Enfermedades del aparato circulatorio,2007,35-54,M,4193.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2005,35-54,F,86.0
Enfermedades del aparato digestivo,2005,35-54,F,454.0
Enfermedades del aparato respiratorio,2006,35-54,M,1317.0
Enfermedades del sistema genitourinario ,2006,35-54,M,304.0
Enfermedades del aparato respiratorio,2008,35-54,M,1420.0
Enfermedades del aparato digestivo,2017,35-54,F,517.0
Enfermedades infecciosas y parasitarias ,2016,35-54,F,712.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2022,35-54,F,99.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2009,35-54,F,638.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2005,35-54,M,496.0
Enfermedades del sistema genitourinario ,2011,35-54,F,222.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2013,35-54,M,519.0
"Embarazo, parto y puerperio ",2015,35-54,F,97.0
Enfermedades de la piel y del tejido subcutáneo ,2018,35-54,M,107.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2010,35-54,M,265.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2018,35-54,M,245.0
Trastornos mentales,2012,35-54,M,173.0
Trastornos mentales,2020,35-54,M,109.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2021,35-54,M,20.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2008,35-54,F,178.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2008,35-54,F,27.0
Enfermedades del sistema genitourinario ,2008,35-54,M,275.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2019,35-54,F,101.0
"Embarazo, parto y puerperio ",2010,35-54,F,100.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2006,35-54,M,1324.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2019,35-54,,10.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2012,35-54,M,45.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2017,35-54,F,107.0
Enfermedades de la piel y del tejido subcutáneo ,2010,35-54,M,29.0
Enfermedades del aparato circulatorio,2012,35-54,,6.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2013,35-54,F,116.0
Enfermedades del aparato circulatorio,2020,35-54,,62.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2012,35-54,F,52.0
"Embarazo, parto y puerperio ",2018,35-54,F,85.0
Enfermedades del sistema genitourinario ,2007,35-54,F,265.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2016,35-54,M,62.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2009,35-54,M,61.0
Accidentes y causas externas,2011,35-54,,7.0
"Embarazo, parto y puerperio ",2014,35-54,F,84.0
Enfermedades de la piel y del tejido subcutáneo ,2014,35-54,M,49.0
Enfermedades de la piel y del tejido subcutáneo ,2009,35-54,F,29.0
Enfermedades de la piel y del tejido subcutáneo ,2015,35-54,M,58.0
Enfermedades infecciosas y parasitarias ,2020,35-54,,16.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2006,35-54,F,17.0
Trastornos mentales,2021,35-54,F,22.0
COVID-19,2020,35-54,,29.0
Enfermedades del aparato respiratorio,2006,35-54,,1.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2012,35-54,,2.0
Tumores ,2016,35-54,,2.0
Tumores ,2009,35-54,,4.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2017,35-54,,4.0
Accidentes y causas externas,2007,35-54,,2.0
Enfermedades del aparato respiratorio,2008,35-54,,3.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2005,35-54,,2.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2020,55-74,F,152.0
Enfermedades infecciosas y parasitarias ,2009,55-74,,6.0
Trastornos mentales,2011,55-74,F,136.0
Trastornos mentales,2006,55-74,M,377.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2016,55-74,,14.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2009,55-74,F,21.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2016,55-74,F,39.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2006,55-74,M,16.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2009,55-74,,9.0
Enfermedades de la piel y del tejido subcutáneo ,2017,55-74,,3.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2008,55-74,M,10.0
Tumores ,2006,55-74,,14.0
Enfermedades del aparato digestivo,2011,55-74,,4.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2021,55-74,,4.0
Enfermedades del aparato circulatorio,2005,55-74,,7.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2020,55-74,,3.0
Enfermedades de la piel y del tejido subcutáneo ,2013,55-74,,1.0
Enfermedades del sistema genitourinario ,2018,55-74,,4.0
Enfermedades del sistema genitourinario ,2010,55-74,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2019,55-74,,2.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2019,55-74,,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2013,55-74,,1.0
Enfermedades del aparato respiratorio,2021,55-74,,1.0
Afecciones originadas en el periodo perinatal ,2019,0-14,M,1686.0
